Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,i3 530,845,46.2,16156,https://cpu.userbenchmark.com/SpeedTest/132/IntelR CoreTM i3 CPU         530    293GHz
CPU,,AMD,A10 7800 APU (2014 D.Ka),846,46.2,14745,https://cpu.userbenchmark.com/SpeedTest/13491/AMD A10 7800 Radeon R7 12 Compute Cores 4C 8G
CPU,,AMD,Athlon II X3 435,847,46.2,1780,https://cpu.userbenchmark.com/SpeedTest/2024/AMD Athlontm II X3 435 Processor
CPU,,AMD,Athlon II X3 440,848,46.2,1788,https://cpu.userbenchmark.com/SpeedTest/5315/AMD Athlontm II X3 440 Processor
CPU,,Intel,i3 3217U,849,46.1,26821,https://cpu.userbenchmark.com/SpeedTest/1643/IntelR CoreTM i3 3217U CPU   180GHz
CPU,,Intel,M 5Y10,850,46.1,447,https://cpu.userbenchmark.com/SpeedTest/17561/IntelR Processor 5Y10 CPU   080GHz
CPU,AM963PAEY44AB,AMD,A10 9630P APU (2016 M.BR),851,46.1,520,https://cpu.userbenchmark.com/SpeedTest/192670/AMD A10 9630P RADEON R5 10 COMPUTE CORES 4C 6G
CPU,,Intel,i5 2467M,852,46,3845,https://cpu.userbenchmark.com/SpeedTest/854/IntelR CoreTM i5 2467M CPU   160GHz
CPU,,AMD,Athlon 64 X2 Dual 6400+,853,45.9,844,https://cpu.userbenchmark.com/SpeedTest/5653/AMD Athlontm 64 X2 Dual Core Processor 6400 
CPU,,Intel,B970,854,45.8,2805,https://cpu.userbenchmark.com/SpeedTest/559/IntelR PentiumR CPU B970   230GHz
CPU,,Intel,i3 4005U,855,45.8,34353,https://cpu.userbenchmark.com/SpeedTest/7028/IntelR CoreTM i3 4005U CPU   170GHz
CPU,,Intel,E8600,856,45.7,5465,https://cpu.userbenchmark.com/SpeedTest/124/IntelR CoreTM2 CPU     E8600    333GHz
CPU,,AMD,A10 5757M APU,857,45.6,1212,https://cpu.userbenchmark.com/SpeedTest/7160/AMD A10 5757M APU with Radeontm HD Graphics
CPU,BX80562Q6600,Intel,Q6600,858,45.6,59719,https://cpu.userbenchmark.com/Intel Q6600/Rating/1980
CPU,,AMD,A4 6320 APU,859,45.6,527,https://cpu.userbenchmark.com/SpeedTest/12932/AMD A4 6320 APU with Radeontm HD Graphics
CPU,,AMD,Phenom 9650,860,45.5,2823,https://cpu.userbenchmark.com/SpeedTest/5238/AMD Phenomtm 9650 Processor
CPU,,Intel,Quad,861,45.5,5148,https://cpu.userbenchmark.com/SpeedTest/374/IntelR CoreTM2 CPU             240GHz
CPU,,AMD,A10 5750M APU,862,45.4,5002,https://cpu.userbenchmark.com/SpeedTest/3779/AMD A10 5750M APU with Radeontm HD Graphics
CPU,,Intel,B960,863,45.4,12153,https://cpu.userbenchmark.com/SpeedTest/1038/IntelR PentiumR CPU B960   220GHz
CPU,AD9600AGABBOX,AMD,A8 9600 APU (2016 D.BR),864,45.3,11205,https://cpu.userbenchmark.com/SpeedTest/339630/AMD A8 9600 RADEON R7 10 COMPUTE CORES 4C 6G
CPU,,Intel,M 5Y70,865,45.3,734,https://cpu.userbenchmark.com/SpeedTest/16573/IntelR Processor 5Y70 CPU   110GHz
CPU,YM300UC4T2OFG,AMD,Athlon 300U,866,45.1,1415,https://cpu.userbenchmark.com/SpeedTest/852003/AMD Athlon 300U with Radeon Vega Mobile Gfx
CPU,,AMD,Ryzen 3 3200U,867,45,18997,https://cpu.userbenchmark.com/SpeedTest/771805/AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx
CPU,FM983PAEY44AB,AMD,FX 9830P APU (2016 M.BR),868,45,3805,https://cpu.userbenchmark.com/SpeedTest/215072/AMD FX 9830P RADEON R7 12 COMPUTE CORES 4C 8G
CPU,AD9800AHABBOX,AMD,A12 9800E APU (2016 M.BR),869,45,388,https://cpu.userbenchmark.com/SpeedTest/345210/AMD A12 9800E RADEON R7 12 COMPUTE CORES 4C 8G
CPU,,Intel,Q8200,870,45,19098,https://cpu.userbenchmark.com/SpeedTest/3754/IntelR CoreTM2  CPU   Q8200    233GHz
CPU,,AMD,Phenom 9550,871,45,2675,https://cpu.userbenchmark.com/SpeedTest/2319/AMD Phenomtm 9550 Processor
CPU,,Intel,2127U,872,44.9,1297,https://cpu.userbenchmark.com/SpeedTest/3354/IntelR PentiumR CPU 2127U   190GHz
CPU,,AMD,Athlon II X2 260,873,44.7,4970,https://cpu.userbenchmark.com/SpeedTest/4651/AMD Athlontm II X2 260 Processor
CPU,,AMD,Athlon II X2 270,874,44.7,5847,https://cpu.userbenchmark.com/SpeedTest/1939/AMD Athlontm II X2 270 Processor
CPU,,Intel,B950,875,44.7,6214,https://cpu.userbenchmark.com/SpeedTest/1968/IntelR PentiumR CPU B950   210GHz
CPU,,Intel,i5 4210Y,876,44.7,567,https://cpu.userbenchmark.com/SpeedTest/6358/IntelR CoreTM i5 4210Y CPU   150GHz
CPU,,Intel,1005M,877,44.6,3148,https://cpu.userbenchmark.com/SpeedTest/5234/IntelR CeleronR CPU 1005M   190GHz
CPU,,Intel,3805U,878,44.6,867,https://cpu.userbenchmark.com/SpeedTest/34360/IntelR PentiumR 3805U   190GHz
CPU,,AMD,Athlon II X3 425,879,44.6,1260,https://cpu.userbenchmark.com/SpeedTest/2178/AMD Athlontm II X3 425 Processor
CPU,,Intel,i5 3339Y,880,44.6,239,https://cpu.userbenchmark.com/SpeedTest/3454/IntelR CoreTM i5 3339Y CPU   150GHz
CPU,,Intel,M 5Y10a,881,44.6,8,https://cpu.userbenchmark.com/SpeedTest/26061/IntelR Processor 5Y10a CPU   080GHz
CPU,,Intel,i5 4300Y,882,44.5,700,https://cpu.userbenchmark.com/SpeedTest/8659/IntelR CoreTM i5 4300Y CPU   160GHz
CPU,,AMD,A10 4600M APU,883,44.4,5465,https://cpu.userbenchmark.com/SpeedTest/1051/AMD A10 4600M APU with Radeontm HD Graphics
CPU,,Intel,M 5Y71,884,44.4,2552,https://cpu.userbenchmark.com/SpeedTest/24191/IntelR CoreTM M 5Y71 CPU   120GHz
CPU,,Intel,i5 2537M,885,44.4,454,https://cpu.userbenchmark.com/SpeedTest/3186/IntelR CoreTM i5 2537M CPU   140GHz
CPU,,Intel,B940,886,44.4,3603,https://cpu.userbenchmark.com/SpeedTest/2724/IntelR PentiumR CPU B940   200GHz
CPU,,Intel,E5405,887,44.3,677,https://cpu.userbenchmark.com/SpeedTest/25434/IntelR XeonR CPU           E5405    200GHz
CPU,,AMD,Athlon II X2 B24,888,44.3,1857,https://cpu.userbenchmark.com/SpeedTest/6359/AMD Athlontm II X2 B24 Processor
CPU,,Intel,m3 6Y30,889,44.2,5092,https://cpu.userbenchmark.com/SpeedTest/38171/IntelR CoreTM m3 6Y30 CPU   090GHz
CPU,,Intel,M 5Y10c,890,44.2,2739,https://cpu.userbenchmark.com/SpeedTest/23759/IntelR CoreTM M 5Y10c CPU   080GHz
CPU,,Intel,i5 8200Y,891,44.1,188,https://cpu.userbenchmark.com/SpeedTest/623840/IntelR CoreTM i5 8200Y CPU   130GHz
CPU,,AMD,Athlon II X2 255,892,44.1,3642,https://cpu.userbenchmark.com/SpeedTest/6225/AMD Athlontm II X2 255 Processor
CPU,,Intel,E3110,893,44.1,342,https://cpu.userbenchmark.com/SpeedTest/4226/IntelR XeonR CPU           E3110    300GHz
CPU,,Intel,E8500,894,44,21638,https://cpu.userbenchmark.com/SpeedTest/13/IntelR CoreTM2 CPU     E8500    316GHz
CPU,,Intel,1037U,895,43.9,2159,https://cpu.userbenchmark.com/SpeedTest/3597/IntelR CeleronR CPU 1037U   180GHz
CPU,,Intel,Q9000,896,43.9,829,https://cpu.userbenchmark.com/SpeedTest/5898/IntelR CoreTM2  CPU   Q9000    200GHz
CPU,,Intel,E5345,897,43.9,273,https://cpu.userbenchmark.com/SpeedTest/10151/IntelR XeonR CPU           E5345    233GHz
CPU,,Intel,m5 6Y57,898,43.8,1442,https://cpu.userbenchmark.com/SpeedTest/42768/IntelR CoreTM m5 6Y57 CPU   110GHz
CPU,,Intel,2117U,899,43.8,4513,https://cpu.userbenchmark.com/SpeedTest/6356/IntelR PentiumR CPU 2117U   180GHz
CPU,,Intel,i7 7Y75,900,43.8,2532,https://cpu.userbenchmark.com/SpeedTest/211988/IntelR CoreTM i7 7Y75 CPU   130GHz
CPU,,Intel,E8400,901,43.7,65588,https://cpu.userbenchmark.com/Intel E8400/Rating/2720
CPU,,Intel,m5 6Y54,902,43.7,1447,https://cpu.userbenchmark.com/SpeedTest/40602/IntelR CoreTM m5 6Y54 CPU   110GHz
CPU,,AMD,A8 5550M APU,903,43.6,3180,https://cpu.userbenchmark.com/SpeedTest/5035/AMD A8 5550M APU with Radeontm HD Graphics
CPU,,AMD,A6 3620 APU,904,43.6,2453,https://cpu.userbenchmark.com/SpeedTest/8057/AMD A6 3620 APU with Radeontm HD Graphics
CPU,,Intel,M 5Y51,905,43.5,440,https://cpu.userbenchmark.com/SpeedTest/24458/IntelR CoreTM M 5Y51 CPU   110GHz
CPU,,Intel,i7 M 640,906,43.4,4743,https://cpu.userbenchmark.com/SpeedTest/4397/IntelR CoreTM i7 CPU       M 640    280GHz
CPU,,Intel,i3 2375M,907,43.4,1407,https://cpu.userbenchmark.com/SpeedTest/5058/IntelR CoreTM i3 2375M CPU   150GHz
CPU,,Intel,1000M,908,43.4,3205,https://cpu.userbenchmark.com/SpeedTest/5059/IntelR CeleronR CPU 1000M   180GHz
CPU,,AMD,Phenom X3 8650,909,43.3,1345,https://cpu.userbenchmark.com/SpeedTest/4548/AMD Phenomtm 8650 Triple Core Processor
CPU,,AMD,Phenom II N660,910,43.2,364,https://cpu.userbenchmark.com/SpeedTest/9034/AMD Phenomtm II N660 Dual Core Processor
CPU,,AMD,Phenom II N950,911,43.2,240,https://cpu.userbenchmark.com/SpeedTest/213/AMD Phenomtm II N950 Processor
CPU,,AMD,A6 6400K APU,912,43.1,12592,https://cpu.userbenchmark.com/SpeedTest/3048/AMD A6 6400K APU with Radeontm HD Graphics
CPU,,AMD,A8 3530MX APU,913,43.1,415,https://cpu.userbenchmark.com/SpeedTest/1796/AMD A8 3530MX APU with Radeontm HD Graphics
CPU,,AMD,Athlon II X2 250 (2013 D.Ri),914,43,15295,https://cpu.userbenchmark.com/SpeedTest/1064/AMD Athlontm II X2 250 Processor
CPU,,Intel,X9100,915,43,532,https://cpu.userbenchmark.com/SpeedTest/6202/IntelR CoreTM2 CPU X9100    306GHz
CPU,,Intel,i5 M 580,916,42.9,1333,https://cpu.userbenchmark.com/SpeedTest/6113/IntelR CoreTM i5 CPU       M 580    267GHz
CPU,,Intel,i3 4012Y,917,42.8,495,https://cpu.userbenchmark.com/SpeedTest/12259/IntelR CoreTM i3 4012Y CPU   150GHz
